nombredepartamento,nombremunicipio,nombreestablecimiento,direccion
ANTIOQUIA,CAREPA,COLEGIO DIOCESANO SANTA MARIA,CL 80 C 66 27
ANTIOQUIA,MEDELLÍN,INST EDUC JOSE ROBERTO VASQUEZ,CL 76 39 160
RISARALDA,PEREIRA,GIMNASIO MARIA DE LOS ANGELES,IND KL 4 VIA ARMENIA
BOLÍVAR,CARTAGENA,FUNDACION LUMBRERAS DEL MAÑANA,TV 48 A 1 D 08
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF PERIQUITO                                                                                  ,CL 111 3 74
ANTIOQUIA,MEDELLÍN,INST EDUC SOL DE ORIENTE,IND KR 23 56EH 200
PUTUMAYO,MOCOA,JARDIN INFANTIL PEQUE¥OS GENIOS,KR 9 14 133
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC SHAKESPEARE DEL NORTE                                                                           ,CR. 40A NO.128C-35
BOLÍVAR,SANTA ROSA DEL SUR,CORPORACION E INSTITUCION EDUCATIVA ALBERT EINSTEIN C.I.N.E.A.E,KR 8 B DG 13
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LICEO PEDAGÓGICO EL RECREO,IND CRA 95A # 73-85/89
RISARALDA,PEREIRA,JARDIN INFANTIL AÑOS BELLOS,MZ 9 CS 19 SC D
CAUCA,MERCADERES,I.E. NUESTRA SEÑORA DEL ROSARIO -ANTES (I.E. URB DE NIÑAS NTA SRA DEL ROSARIO),IND BARRIO SANTA TERESITA
NORTE DE SANTANDER,TOLEDO,COL SAN BERNARDO,CLL PRINCIPAL SAN BERNARDO
META,VILLAVICENCIO,COL MANANTIAL DE LA ALEGRIA,CALLE 48A # 42-86
ANTIOQUIA,MEDELLÍN,INST EDUC SEBASTIAN DE BELALCAZAR,CL 103 EE 63 D 185
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",PREESCOLAR INTEGRAL DE ESTIMULACION ADECUALDA DESPERTARES,CL 75 B 111 A 02
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO INTEGRAL DE ADULTOS DE SOLEDAD CEIAS,CL 24 54 58
ATLÁNTICO,SABANAGRANDE,COLEGIO MIXTO SANTO DOMINGO SAVIO,KR 2 4 A 45
HUILA,GUADALUPE,ATENEO AUTONOMO DE COLOMBIA,IND CENTRO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL TEC DE LA ESC COLOMBIANA DE CARRERAS INDISTRIAL ECCI,CR. 19 NO.48-36
CÓRDOBA,VALENCIA,COL DPTAL LIC VILLANUEVA,CORREG VILLA NUEVA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL PARROQ DE LOS SANTOS APOSTOLES                                                                  ,CL 57 C BIS SUR 79 C 41
TOLIMA,CAJAMARCA,INSTITUCION EDUCATIVA TECNICA NUESTRA SEÑORA DEL ROSARIO,CLL 6 NO 4-12
BOYACÁ,CUCAITA,I.E. PIJAOS,VDA PIJAOS
BOYACÁ,FIRAVITOBA,COL PASITOS ALEGRES,KR 5 5 115
NARIÑO,LA TOLA,CENTRO EDUCATIVO RURAL MIXTO EL PAMPON,LA TOLA
TOLIMA,IBAGUÉ,LICEO SAN MATEO,CLL 67 NO 25-08
CASANARE,TÁMARA,IE ARTURO SALAZAR MEJIA,BARRIO SAN JOSE
ATLÁNTICO,BARRANQUILLA,CENTRO EDUCATIVO PEQUEÓILANDIA,KR 45 55 47
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST  EDUC COMPARTIR SUBA                                                                           ,KR 128 146 52
NORTE DE SANTANDER,CÚCUTA,INST INF DOCE DE OCTUBRE,CLL 11AN NO 4A-80
QUINDIO,ARMENIA,PREESCOLAR EXPERIENCIAL MI GRANJITA,IND FINCA EL REPOSO A 300MTS DEL SENA AGROPECUARIO
CASANARE,YOPAL,LICEO INTEGRAL DEL SABER,KR 20 31 54
CUNDINAMARCA,CAJICÁ,I. E. D. RURAL ANTONIO NARIÑO,VDA. CANELON.
MAGDALENA,PIVIJAY,INSTITUTO EDUCATIVO SAN JOSE,CAL 15 NRO 9-68
NARIÑO,ARBOLEDA,CENTRO EDUCATIVO EL VOLADOR,VEREDA VOLADOR
ANTIOQUIA,CAUCASIA,I. E. ESCUELA NORMAL SUPERIOR DEL BAJO CAUCA,KR 20 2 00
BOLÍVAR,CARTAGENA,COL. SAN RAFAEL,KR 16 47 56
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL MARIA TERESA                                                                                    ,KR 28 63 C 74
META,VISTAHERMOSA,CE NUEVA COLOMBIA,VDA PUERTO COLOMBIA
NARIÑO,CUMBAL,CENTRO EDUCATIVIO SAN MARTIN,CORREGIMIENTO SAN MARTIN
CUNDINAMARCA,CAQUEZA,COLEGIO SANTIAGO GUTIERREZ,CL 6 KR 6
CUNDINAMARCA,EL ROSAL,COLEGIO MILITAR CAMPESTRE  MANUEL MURILLO TORO ,VEREDA BUENA VISTA
BOLÍVAR,TURBACO,COLEGIO NUEVO HORIZONTE,DG 27 13 C 88
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL FUND COLOMBIA                                                                                   ,IND KM 14 CART CENTRAL DEL NORTE
SANTANDER,BUCARAMANGA,FUND EDUCATIVA Y TECNICA HACIA EL PROGRESO INDUSTRIAL - FUNDETEC ,CL 14 34 80
ANTIOQUIA,ENVIGADO,JARDIN INFANTIL LA GACELA                                   ,KR 43 A 40 A 400
TOLIMA,IBAGUÉ,JARDIN INFANTIL BAMBU,CARRERA 4C NO. 36-37 BARRIO CADIZ
VALLE DEL CAUCA,CANDELARIA,I.E. PANEBIANCO AMERICANO,MZ  17 II ETAPA
META,VILLAVICENCIO,JARDIN INFANTIL PEQUE¿AS IDEAS,KR 45 B CL 22 A
ATLÁNTICO,BARRANQUILLA,JARD INF PATSY Y NIÑOS,CL 86 47 106
ANTIOQUIA,MEDELLÍN,CENTRO EDUCATIVO MUNDO NUEVO,KR 31 46 57
ATLÁNTICO,SABANALARGA,ESCUELA CORAZON DE JESUS,CALLE 3 CRA 7 N 70 3
NARIÑO,LEIVA,CENTRO EDUCATIVO LA INMACULADA,VEREDA EL CAJETO
CAUCA,GUAPI,I.E. SAN ANTONIO,CORREGIMIENTO SAN ANTONIO DE GUAJUI
VALLE DEL CAUCA,CALI,CENT DOC MARIA DEL CARMEN,CL 85 27 50
CAUCA,PUERTO TEJADA,COLEGIO EVANGELICO EBENEZER (ANTES ANTONIO NARINO),KR 15 16 53
ATLÁNTICO,GALAPA,CENTRO EDUCATIVO LOS ANGELES,CL 13 12 94
NARIÑO,SAN PABLO,CENTRO EDUCATIVO EL RAMAL,EL RAMAL
ANTIOQUIA,CAROLINA,C. E. R. EL SALTO,CORREG. EL SALTO
ATLÁNTICO,BARRANQUILLA,I.E. DISTRITAL CENTRO SOCIAL DON BOSCO,KR 30 17 98
ANTIOQUIA,ZARAGOZA,COLEGIO PEDAGOGICO SIGLO XXI  COCEP SIGLO XXI ,PARQUE PRINCIPAL
VALLE DEL CAUCA,BUENAVENTURA,ESCUELA GENERAL SANTANDER,CLL 2 35C24
BOYACÁ,CHIQUINQUIRÁ,COLEGIO BOLIVARIANO,CL 18 8 53
ANTIOQUIA,ENVIGADO,JARDIN INFANTIL PATO DONALD                                 ,IND CR 42 B S 46 D S 27
CUNDINAMARCA,MADRID,COLEGIO RAFAEL POMBO                                            ,CRA 3 NO 13A 49
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC JORGE ROBLEDO                                                                                   ,CL 49 A SUR 5 Z 43
NORTE DE SANTANDER,LA ESPERANZA,INST EDUCATIVA JESUS ANTONIO RAMIREZ,CL 2 2-78 
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF PEQUEÑOS ESTUDIANTES                                                                       ,CR. 50 NO.72A-30
NARIÑO,CONSACÁ,CENTRO EDUCATIVO EL GUABO,VEREDA EL GUABO
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL CARDENAL SANCHA                                                                                 ,CL 127 B BIS 21 02
SUCRE,SAN BENITO ABAD,INST EDUC JORGE TADEO LOZANO (SEDE SAN BENITO ABAD) ,CORREG SANTIAGO APOSTOL
CUNDINAMARCA,CARMEN DE CARUPA,INST DE EDUCACION PARA JOVENES  Y ADULTOS DE CUNDINAMARCA ID,CENTRO
ANTIOQUIA,NECOCLÍ,I. E. R. MULATOS,CORREG MULATOS
LA GUAJIRA,MANAURE,I.E. SAGRADO CORAZON DE JESUS,KR 5 5 05
VALLE DEL CAUCA,CALI,COL COMUNITARIO  TEC IND. UNIDAD BOLIVARIANA,IND TRANS. 72F1 # 28D3 - 05
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL MADRE PAULA MONTAL                                                                              ,CL 56 SUR 15 55 ESTE
CÓRDOBA,CERETÉ,COL MARIA AUXILIADORA,KR 18 16 28
HUILA,PITALITO,IE MUNICIPAL PALMARITO,VDA PALMARITO
CAUCA,CALOTO,I.E. NUCLEO ESCOLAR RURAL CALOTO,KR 5 7 80
VALLE DEL CAUCA,CALI,COLEGIO LA ARBOLEDA,KR 125 2 80
CAUCA,MORALES,I.E.DPTAL INDG MISAK MISAK ALA KUSREINUK MINGA EDUCATIVA INTERCULTURAL KURAK CHAK,VEREDA BONANZA
SUCRE,GALERAS,JARDIN RAYITO DE LUZ,IND CLL VERSALLES
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO MARIO LUIS RODRIGUEZ COBOS,CL 47 SUR 26 55
ANTIOQUIA,NECOCLÍ,I. E. R. PUEBLO NUEVO,CORREG. PUEBLO NUEVO
NORTE DE SANTANDER,CÚCUTA,COL LA SALLE,AV 2 E 6 80
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LICEO SAN RAFAEL DE ALICANTE,CL 73 74 A 42
ANTIOQUIA,ANORÍ,I. E. ANORI,KR 35 26 380
CESAR,VALLEDUPAR,GIMNASIO LUZ DEL SABER,CALLE 28 19-35
NARIÑO,SAMANIEGO,CENTRO EDUCATIVO BAJO CANADA,VDA. BAJO CANADA
NORTE DE SANTANDER,CÚCUTA,ESCUELA MATERNAL Y JARDIN INFANTIL LA MAGIA DE LOS ANGELES,CL 13 A 3 09
CUNDINAMARCA,EL COLEGIO,INSTITUCION EDUCATIVA DEPARTAMENTAL NACIONALIZADO LA VICTORIA,INSPECCION LA VICTORIA MUNIC. EL COLEGIO
ATLÁNTICO,BARRANQUILLA,INSTITUCION EDUCATIVA DISTRITAL DESPERTAR DEL SUR,KR 3 B 52 B 28
CUNDINAMARCA,PUERTO SALGAR,COLEGIO JUAN WESLEY,CL 10 7 43
CAUCA,POPAYÁN,NUESTRA SEÑORA DEL CARMEN,KR 5 A 20 24
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO RURAL JOSÉ CELESTINO MUTIS (IED),KM 10 VIA QUIBA PREDIO EL CLAVEL
CALDAS,MANIZALES,INSTITUCIÓN EDUCATIVA VILLA DEL PILAR,CL 9 KR 3
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",PREESC MIS PEQUEÑOS GENIOS                                                                          ,DG 76 A BIS 101 70 IN 103 104
TOLIMA,IBAGUÉ,JARDIN INF ALEGRIA DE VIVIR,MZ  11 CASA. 9  SUR.
SANTANDER,BARRANCABERMEJA,INST PEDAGOGICO PEQUEÑOS GIGANTES                                                                   ,CL 60 15 B 96
SUCRE,GUARANDA,I.E. PUERTO LOPEZ,CORREG PTO LOPEZ
NARIÑO,PASTO,CENT DE DESARROLLO INTEGR HUELLITAS MAGICAS,CR 42 NO 13 25
SANTANDER,FLORIDABLANCA,COL SEMILLAS DE AMOR Y FE,CL 200 N. 10-146
VALLE DEL CAUCA,RIOFRÍO,IE CAMILO TORRES,CORREG LA ZULIA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN VILLAMARIN                                                                                     ,CL 31 B SUR 15 B 12
MAGDALENA,FUNDACIÓN,LICEO SUPERIOR RODRIGO DE BASTIDAS,CALLE 13 NO 7 - 82
BOYACÁ,PISBA,IE RAMON BARRANTES,CASCO URBANO
CALDAS,VILLAMARÍA,JARDIN INFANTIL GURY GURY,CL 3 NRO 17 A 40
VALLE DEL CAUCA,CALI,JARDÍN INFANTIL EL TALLER DE JUDY,KR 12 1 74
HUILA,PALERMO,SAGRADO CORAZON DE MARIA,KR 10 8 34
ATLÁNTICO,BARRANQUILLA,CORP EDUC. PENTECOSTAL ADULTOS,CL 58 44 34
VALLE DEL CAUCA,YUMBO,IE POLICARPA SALAVARRIETA,KM 9 VIA DAPA
ANTIOQUIA,GUARNE,I. E. SANTO TOMAS DE AQUINO,KR 50 52 99
CÓRDOBA,CHINÚ,IE JOSE MARIA CARBONELL,CORREG. STA ROSA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMNASO INFANTIL PLEYADE,KR 10 B 182 A 22
TOLIMA,SALDAÑA,INSTITUCION EDUCATIVA TECNICA GENERAL ROBERTO LEYVA,CR 9 CLL  11 BARRIO BONANZA
CESAR,VALLEDUPAR,I.E. LUIS OVIDIO RINCON LOBO,VALENCIA DE JESUS
ANTIOQUIA,RIONEGRO,I. E. DOMINGO SAVIO,KM. 13 VIA EL RETIRO - LLANOGRANDE
CHOCÓ,ALTO BAUDÓ,IE INDÍGENA MARIO CHAMORRO,CATRU
QUINDIO,ARMENIA,BOSQUES DE PINARES,IND MZ 13 NO  2
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST CIAL LORETO SEDE B                                                                             ,CL 46 BIS SUR 67 A 09
VALLE DEL CAUCA,BUENAVENTURA,CENTRO EDUCATIVO AMIGOS INTERMEDIOS,KR 46 10 55
CUNDINAMARCA,ZIPAQUIRÁ,COL DIOCESANO DE LA ASUNCION                                ,CL 8 4 96
CAQUETÁ,FLORENCIA,LA REFORMA,KR 9 B 7 40
TOLIMA,IBAGUÉ,LICEO TESOROS DEL MAÑANA,CLL 120
NARIÑO,IPIALES,INSTITUCION EDUCATIVA SAN LORENZO DE YARAMAL,CL 22 5 32
BOLÍVAR,CARTAGENA,COL. ANDALUCIA,CL GRANADA 29 22 BR P DE BOLIVAR ANDALUCIA
VALLE DEL CAUCA,DAGUA,COL LEONISTICO,CL 9 9 27
VALLE DEL CAUCA,CALI,FUNDACION ESCOLAR NELSON MANDELA,CL 120 G 22 65
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL DE MARIA AUXILIADORA                                                                            ,KR 13 30 99
SANTANDER,FLORIDABLANCA,INST PEDAG SANTO DOMINGO,KR 15 58 122
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",INST PSICOPEDAG INTEGRAL                                                                            ,CL 48 J SUR 5 H 08
CÓRDOBA,MOÑITOS,INSTITUCION EDUCATIVA SAN JOSE DE MOÑITOS,CRA. NO. 27-34
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",ACAD MILIT MARISCAL SUCRE                                                                           ,KR 29 10 54
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF SAN VICENTE,CL 34 SUR 7 50 ESTE
ANTIOQUIA,ENVIGADO,JARDIN INFANTIL Y GUARDERIA LOS ENANITOS                   ,KR 32 31 55
GUAVIARE,SAN JOSÉ DEL GUAVIARE,COLOMBIA SIN BANDERAS,CL 22 19 A 59
NARIÑO,RICAURTE,INSTITUCION  AGROPECUARIA COMUNIDAD  INDIGENA  INKAI -AWA,VDA MAGUI
CÓRDOBA,LORICA,INSTITUTO SAN CARLOS ,KR 31 3 42
VALLE DEL CAUCA,CALI,CENTRO DE ESTUDIOS ACADEMICOS C.E.A,CL 36 46 19
VALLE DEL CAUCA,PALMIRA,LICEO PEDAGOGICO MAYOR VENCEDORES,CL 5 3 372
ATLÁNTICO,BARRANQUILLA,INSTITUCION DE LA CRUZ,CL 47 B 30 86
CAUCA,SANTANDER DE QUILICHAO,COLEGIO DE ADULTOS POR CICLOS INTEGRADOS GIMNASIO DEL NORTE,CL 2 A 5 36
CAUCA,PADILLA,C.E. YARUMALES,CORREGIMIENTO YARUMALES
VALLE DEL CAUCA,BUENAVENTURA,COLEGIO ALBERTO BENJAMIN,IND AV 19 24
MAGDALENA,SANTA MARTA,COLEGIO ESCUELA MAGDALENA,CALLE 18 N¿  8 - 14
VALLE DEL CAUCA,CALI,INSTITUTO TÉCNICO OCUPACIONAL ITO,IND AV. 3 BIS # 24-67/77
ATLÁNTICO,SOLEDAD,CENTRO EDUCATIVO NUEVO MUNDO,CL 57 B 7 33
TOLIMA,PIEDRAS,INSTITUCION EDUCATIVA DOIMA,IDP DOIMA
TOLIMA,IBAGUÉ,COL PAIDEIA SCHOOL,IND KM 2 VÍA AL TOTUMO - FINCA LA ESPERANZA
CESAR,VALLEDUPAR,IE EDUARDO SUAREZ ORCASITA,CL 12 KR 25 47
VALLE DEL CAUCA,CALI,COLEGIO PORTALES,CL 64 B 2 D 99
CAQUETÁ,MILÁN,I.E. R. LA FLORIDA,INSP REMOLINO DE ARICUNTI
NARIÑO,EL TAMBO,CENTRO EDUCATIVO EL ZANJON,VDA EL ZANJ¿N
SANTANDER,CIMITARRA,CENTRO EDUCATIVO  LOS GUAYABALES,VEREDA LA TERRAZA
NORTE DE SANTANDER,OCAÑA,I.E. SAN MIGUEL ARCÁNGEL SCHOOL,CLL 11# 14-32
QUINDIO,ARMENIA,LA TERNURA DE MAMA,KR 13 15 08
BOYACÁ,PUERTO BOYACÁ,I.E.T. AGROPECUARIA EL MARFIL,VDA. EL MARFIL
ANTIOQUIA,MUTATÁ,INSTITUTO CORFERRINI,CRA. 5 CON CLL. 1
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF DIVERLANDIA                                                                                ,CL 18 SUR 23 39
CUNDINAMARCA,FUSAGASUGÁ,INSTITUCION EDUCATIVA MUNICIPAL EBEN-EZER,CL 19 52 00
TOLIMA,VENADILLO,INSTITUCION EDUCATIVA TERESA CAMACHO DE SUAREZ,IDP JUNIN
NARIÑO,YACUANQUER,CENTRO EDUCATIVO EL ROSARIO,VEREDA EL ROSARIO
ATLÁNTICO,BARRANQUILLA,JARDIN INFANTIL TIO GRILLO,CL 69 38 B 48
SUCRE,SINCELEJO,INSTITUCION EDUCATIVA NUESTRA SE¿ORA DEL CARMEN,CL 31 A 6 D 47
CUNDINAMARCA,SAN BERNARDO,INTITUCION EDUCATIVA RURAL DEPARTAMENTAL ANDES,VEREDA EL DIAMANTE
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COL SAN ISIDRO                                                                                      ,KR 1 G ESTE 79 27 SUR
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN ACAD REGIONAL                                                                                  ,KR 108 139 26
CÓRDOBA,MONTELÍBANO,I.E. JESÚS DE NAZARETH,CL 15 A 11 35
NARIÑO,FUNES,CENTRO EDUCATIVO LA SOLEDAD,VEREDA LA SOLEDAD
ANTIOQUIA,SABANALARGA,INSTITUTO CODESARROLLO,VDA. TESORERO
CAQUETÁ,SAN VICENTE DEL CAGUÁN,C.E. INTERCULTURAL INDIGENA SAN VICENTE DEL CAGUAN,VDA BILINGUE LOS LAURELES
SANTANDER,EL CARMEN DE CHUCURÍ,LICEO INFANTIL GRANDES INNOVADORES,CL 6 3 08
CUNDINAMARCA,GIRARDOT,COLEGIO SANTA MARIA,KR 12 19 70
CHOCÓ,RIOSUCIO,IE INDÍGENA AGROP DE ISLETA,ISLETA
VALLE DEL CAUCA,CALI,LICEO GRANDES TRIUNFADORES,KR 1 I BIS 68 11
CÓRDOBA,TIERRALTA,LIC GETSEMANI,CALLE PRINCIPAL
ANTIOQUIA,ITUANGO,C. E. R. EL INDIO,VDA. EL INDIO
ANTIOQUIA,NECOCLÍ,COLEGIO DIOCESANO MAR DE RISAS                                                                      ,CRA. 51  59-19
SANTANDER,BUCARAMANGA,GIMNASIO LOS ROBLES,KR 46 55 105
VALLE DEL CAUCA,BUENAVENTURA,COLEGIO MIXTO SAN JOSE,IND KRA 41 DIG 7 SUR Nº 41-239
PUTUMAYO,PUERTO LEGUÍZAMO,IE CANDIDO LEGUIZAMO,CL 8 A KR 2 A
ATLÁNTICO,BARRANQUILLA,INST. EDUC. DIST. PAULO FREIRE,CL 37 27 08
ANTIOQUIA,MEDELLÍN,PREESC ANGELILLOS,CL 103 66 42
ATLÁNTICO,BARRANQUILLA,COLEGIO ASOBOSQUE,KR 7 74 40
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF LA CASITA DE CHENANO                                                                       ,AV LAS AMERICAS 69 B 59
SANTANDER,PALMAS DEL SOCORRO,CENTRO EDUCATIVO  POZO AZUL,VEREDA POZO AZUL
VALLE DEL CAUCA,CALI,LICEO MUNDO DINAMICO,KR 43 B 26 E 05
CUNDINAMARCA,CHÍA,I.E. FAGUA,VERADA FAGUA
SANTANDER,BUCARAMANGA,IE LA LIBERTAD,KR 31 101 24
SANTANDER,SAN VICENTE DE CHUCURÍ,LICEO GRAN COLOMBIANO,KR 12 7 52
MAGDALENA,SANTA MARTA,IED EL PANDO,MZ 24 CS 1
BOYACÁ,TUNJA,COL DE ED. BASICA LEV VYGOTSKI,KR 6 D 1 59
NARIÑO,SANTACRUZ,CENTRO EDUCATIVO EL DIAMANTE,VDA. DIAMANTE
ANTIOQUIA,MEDELLÍN,I.E. GUADALUPE,KR 42 B 95 A 23
CALDAS,BELALCÁZAR,INSTITUCION EDUCATIVA CRISTO REY,KR 4 21 36
VALLE DEL CAUCA,CALI,COLEGIO DISTRITAL SAN JOSE,IND CL 99 26 B1 90
NARIÑO,SAMANIEGO,CENTRO EDUCATIVO LA AGUADA,VDA. LA AGUADA
CHOCÓ,MEDIO BAUDÓ,CE BELLAVISTA BERREBERRE,BELLAVISTA BERREBERE
META,VILLAVICENCIO,JARDIN INFANTIL ALEXIS CARREL,KR 32 A 6 A 43
TOLIMA,COYAIMA,INSTITUCION EDUCATIVA ZARAGOZA TAMARINDO,VDA ZARAGOZA TAMARINDO
VALLE DEL CAUCA,TULUÁ,ESCUELA MERCANTIL,CL 13 NNO 38 D 170
HUILA,LA PLATA,IE MONSERRATE,INSP MONSERRATE
CUNDINAMARCA,MADRID,LICEO CREATIVO LIBERTAD,KR 3 9 45
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO RAFAEL DELGADO SALGUERO (IED),KR 27 37 49 SUR
NARIÑO,SAMANIEGO,CENTRO EDUCATIVO BELLAVISTA,VDA. BELLAVISTA
ATLÁNTICO,BARRANQUILLA,CENTRO EDUCATIVO EL NIÑO JESUS,CL 38 B 4 35
ANTIOQUIA,MEDELLÍN,INST EDUC EL LIMONAR,CLL 57 SUR # 65-63
CUNDINAMARCA,FACATATIVÁ,LIC EL PARAISO DE LOS NIÑOS                                 ,CR 7 7 150 AV DANIEL ORTEGA
TOLIMA,NATAGAIMA,COLEGIO MARÍA MONTESSORI,CL 6 7 47
MAGDALENA,SANTA MARTA,COLEGIO JORGE ELIECER GAITAN,CL 24 23 59
META,LA MACARENA,CE LAS DELICIAS,VDA LAS DELICIAS
CAUCA,EL TAMBO,I.E. AGROECOLOGICO DE SEVILLA,VEREDA DE SEVILLA
SANTANDER,OIBA,ESCUELA NORMAL SUPERIOR,CL 9 8 82
CESAR,AGUSTÍN CODAZZI,COLEGIO COOPERATIVO EL BUEN PASTOR,CL 26 22 20
BOYACÁ,CHINAVITA,I.E. TECNICA NUESTRA SEÑORA DE NAZARETH,CL 2 # 2 - 38
SANTANDER,FLORIDABLANCA,COL. NUESTRA SEÑORA DEL ROSARIO,KR 7 4 44
MAGDALENA,SANTA MARTA,COLEGIO MARIA INMACULADA,CALLE 18 NO.1C 48
CESAR,BOSCONIA,INSTITUTO NUEVA ESPERANZA,KR 18 12 15
NARIÑO,PUERRES,CENTRO EDUCATIVO LOMA LARGA,VEREDA LOMA LARGA
TOLIMA,IBAGUÉ,INST EDUC  BOYACA,CRA 5 CLL 20 ESQUINA
VALLE DEL CAUCA,CALI,CENTRO EDUCATIVO PARA NIÑOS SORDOS MARÍA DE NURIA SACASAS-AS,KR 25 6 45
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMN CAMPESTRE  ESCALEMOS                                                                           ,KR 56 167 C 56
VALLE DEL CAUCA,ROLDANILLO,IE NORMAL SUPERIOR JORGE ISAACS,KR 7 15 70
MAGDALENA,CIÉNAGA,CENTRO SISTEMATIZADO ANDRES BELLO,KR 22 18 34
ANTIOQUIA,COPACABANA,I. E. VILLANUEVA,KR 56 56 155
ANTIOQUIA,MEDELLÍN,INST EDUC REPUBLICA DE URUGUAY,CL 91 A 70 A 123
ANTIOQUIA,CARACOLÍ,I. E. GABRIEL CORREA VELEZ,CL 22 21 B 10
BOYACÁ,TUTA,COL SAN MIGUEL ARCANGEL,KR 6 3 54
ANTIOQUIA,MEDELLÍN,PEESCOLAR HERMANOS GRIMM S,CL 51 A 78 B 73
ATLÁNTICO,BARRANQUILLA,COLEGIO SANTA MARIA DE LA PROVIDENCIA,KR 10 98 B 07
VALLE DEL CAUCA,CALI,INSTITUCION EDUCATIVA EL DIAMANTE,KR 31 41 00
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",JARD INF CARRUSEL DE ILUSIONES                                                                      ,CLL. 98 NO.48F-11
RISARALDA,BALBOA,LA FLORESTA,VDA LA FLORESTA
CÓRDOBA,MONTERÍA,INSTITUCIÓN EDUCATIVA CAÑO VIEJO PALOTAL,CORREGIMIENTO  CAÑO VIEJO PALOTAL
LA GUAJIRA,BARRANCAS,INSTITUCION EDUCATIVA TÉCNICA REMEDIOS SOLANO,CRA 8 NO. 8-26
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",LIC BOGOTA                                                                                          ,CLL. 7 SUR NO.42-69
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",GIMNASIO MONTREAL,KR 92 156 89
META,PUERTO GAITÁN,CE HORIZONTES,KM 35 VIA RUBIALES
CUNDINAMARCA,GIRARDOT,COLEGIO MILITAR LICEO MODERNO,KR 7 A 30 102
NARIÑO,LA FLORIDA,CENTRO EDUCATIVO LOMA LARGA,VEREDA LOMA LARGA
"BOGOTÁ, D.C.","BOGOTÁ, D.C.",COLEGIO SANTA JUANA DE CHANTAL,KR 98 16 D 57
ANTIOQUIA,MEDELLÍN,INST EDUC JESUS REY,KR 88 77 A 11
ANTIOQUIA,CAUCASIA,C. E. R. KILOMETRO 18,VDA. KM. 18
SUCRE,SAN ONOFRE,CENTRO EDUCATIVO SABANETICA,SABANETICA (LIBERTAD)
ATLÁNTICO,SABANALARGA,INSTITUCION EDUCATIVA ANTONIA SANTOS,CARRERA 13  15 - 78
BOLÍVAR,CARTAGENA,COL. CAMINO DEL CORAL DE C/GENA.,MZ B LT 8
ATLÁNTICO,BARRANQUILLA,INST. EDUC. DIST. ANTONIO JOSE DE SUCRE,CL 54 64 30
ANTIOQUIA,APARTADÓ,COLEGIO SAN ANTONIO DE PADUA,CL 105 H 64 28
CALDAS,LA DORADA,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN,KR 9 12 15
ARAUCA,ARAUCA,I.E.A. MUNICIPAL,KM 7 VIA CAÑO LIMON
BOYACÁ,TUNJA,COLEGIO GARCIA LORCA,AV ORIENTAL 9 97
SANTANDER,ZAPATOCA,CENTRO EDUCATIVO LA PLAZUELA,VEREDA LA PLAZUELA
CESAR,VALLEDUPAR,JARDIN INFANTIL LA PRADERA,IND MZ E CASA 10B CLUB HOUSE
CAUCA,EL TAMBO,CORPORACION MAESTRA VIDA,VDA PUENTE ALTA
BOLÍVAR,CARTAGENA,ESCUELA COMUNITARIA ETNOEDUCATIVA DE PALESTINA,CL PRINCIPAL 20 15
