geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
HND-003941,2011,50100144,1,0,1,1,,,,
HND-004053,2011,50100563,1,1,1,1,,,,
HND-004116,2011,50101061,0,0,1,0,,,,
HND-003902,2011,50100084,1,0,1,0,,,,
HND-004145,2011,50101236,,0,,0,,,,
HND-004043,2011,50100536,1,0,1,0,,,,
HND-004105,2011,50100950,1,0,1,0,,,,
HND-016484,2011,180400178,,0,,0,,,,
HND-005044,2011,51200082,1,0,1,0,,,,
HND-016387,2011,180400017,1,0,1,0,,,,
HND-016374,2011,180400004,1,0,1,0,,,,
HND-016413,2011,180400044,0,0,0,0,,,,
HND-016399,2011,180400029,1,0,1,1,,,,
HND-016418,2011,180400050,1,0,1,0,,,,
HND-005039,2011,51200060,,0,,0,,,,
HND-016526,2011,180400320,0,0,1,0,,,,
HND-016376,2011,180400006,1,0,1,0,,,,
HND-014969,2011,161700061,1,0,0,0,,,,
HND-015000,2011,161700131,1,0,0,0,,,,
HND-015009,2011,161700155,,0,,0,,,,
HND-014917,2011,161700010,1,0,1,0,,,,
HND-014940,2011,161700032,1,0,0,0,,,,
HND-014996,2011,161700108,0,0,0,0,,,,
HND-015002,2011,161700141,1,0,0,0,,,,
HND-014931,2011,161700023,1,0,0,0,,,,
HND-015013,2011,161700165,,0,,0,,,,
HND-014921,2011,161700014,1,0,0,0,,,,
HND-014997,2011,161700109,1,0,0,0,,,,
HND-003979,2011,50100277,1,0,0,0,,,,
HND-014920,2011,161700013,1,0,1,0,,,,
HND-004403,2011,50300087,1,0,0,0,,,,
HND-004360,2011,50300024,1,0,1,0,,,,
