geo_id,country_id,school_name,address,adm0,adm1,adm2,adm3
CRI-004123,,SUNLIGHT SCHOOL,,CRI,ALAJUELA,SAN RAMON,SAN RAMON
CRI-004124,,RIO COROBICI,,CRI,GUANACASTE,CAÑAS,CAÑAS
CRI-004125,,BONANZA,,CRI,ALAJUELA,SAN CARLOS,FLORENCIA
CRI-004126,,VEGAS DE IMPERIO,,CRI,LIMON,SIQUIRRES,SIQUIRRES
CRI-004127,,SANTA CRUZ-EL TABLAZO,,CRI,GUANACASTE,CARRILLO,SARDINAL
CRI-004128,,LUIS DOBLES SEGREDA,,CRI,GUANACASTE,NICOYA,SAN ANTONIO
CRI-004129,,CORRALILLO,,CRI,CARTAGO,CARTAGO,CORRALILLO
CRI-004130,,FINCA GUANACASTE,,CRI,PUNTARENAS,OSA,PIEDRAS BLANCAS
CRI-004131,,GAVILÁN CANTA,,CRI,LIMON,TALAMANCA,BRATSI
CRI-004132,,SAN JUAN MIRAMAR,,CRI,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO
CRI-004133,,ESCUELA BILINGÜE SONNY,,CRI,CARTAGO,CARTAGO,ORIENTAL
CRI-004134,,ESTRELLITA OROMONTANA,,CRI,PUNTARENAS,PUNTARENAS,PUNTARENAS
CRI-004135,,EL PORTAL,,CRI,GUANACASTE,NICOYA,BELEN DE NOSARITA
CRI-004136,,MANUEL ANTONIO,,CRI,PUNTARENAS,AGUIRRE,QUEPOS
CRI-004137,,JUNQUILLO ABAJO,,CRI,SAN JOSE,PURISCAL,SANTIAGO
CRI-004138,,SAN ANTONIO,,CRI,PUNTARENAS,BUENOS AIRES,POTRERO GRANDE
CRI-004139,,POCOSOL,,CRI,ALAJUELA,SAN CARLOS,POCOSOL
CRI-004140,,RAUL GRANADOS GONZALEZ,,CRI,CARTAGO,PARAISO,CACHI
CRI-004141,,ARTOLA,,CRI,GUANACASTE,CARRILLO,SARDINAL
CRI-004142,,CAIMITALITO,,CRI,GUANACASTE,NICOYA,BELEN DE NOSARITA
CRI-004143,,TABLAZO,,CRI,SAN JOSE,ACOSTA,SAN IGNACIO
CRI-004144,,SANTA MARTA,,CRI,SAN JOSE,MONTES DE OCA,SAN PEDRO
CRI-004145,,SUAMPITO,,CRI,ALAJUELA,UPALA,SAN JOSE
